    Time,sec      Abs(UY,mm)      Abs(UZ,mm)   Phase(UY,deg)   Phase(UZ,deg)       Freqz(Hz)=189.16       Freqy(Hz)=189.16
    0.017200        0.008094        0.008094       86.493108           -3.51       41.19        1.57
    0.017250        0.008094        0.008094       86.814940           -3.19       41.19        1.57
    0.017300        0.008093        0.008093       87.137081           -2.86       41.19        1.57
    0.017350        0.008093        0.008093       87.459530           -2.54       41.18        1.57
    0.017400        0.008092        0.008092       87.782286           -2.22       41.18        1.57
    0.017450        0.008091        0.008091       88.105348           -1.89       41.18        1.57
    0.017500        0.008091        0.008091       88.428713           -1.57       41.17        1.57
    0.017550        0.008090        0.008090       88.752382           -1.25       41.17        1.57
    0.017600        0.008089        0.008089       89.076351           -0.92       41.17        1.57
    0.017650        0.008089        0.008089       89.400621           -0.60       41.16        1.57
    0.017700        0.008088        0.008088       89.725190           -0.27       41.16        1.57
    0.017750        0.008087        0.008087       90.050055            0.05       41.15        1.57
    0.017800        0.008086        0.008086       90.375217            0.38       41.15        1.57
    0.017850        0.008086        0.008086       90.700674            0.70       41.14        1.57
    0.017900        0.008085        0.008085       91.026423            1.03       41.14        1.57
    0.017950        0.008084        0.008084       91.352465            1.35       41.14        1.57
    0.018000        0.008083        0.008083       91.678797            1.68       41.13        1.57
    0.018050        0.008082        0.008082       92.005418            2.01       41.13        1.57
    0.018100        0.008081        0.008081       92.332326            2.33       41.12        1.57
    0.018150        0.008080        0.008080       92.659521            2.66       41.12        1.57
    0.018200        0.008079        0.008079       92.987001            2.99       41.11        1.57
    0.018250        0.008078        0.008078       93.314765            3.31       41.11        1.57
    0.018300        0.008077        0.008077       93.642811            3.64       41.10        1.57
    0.018350        0.008076        0.008076       93.971138            3.97       41.09        1.57
    0.018400        0.008075        0.008075       94.299744            4.30       41.09        1.57
    0.018450        0.008074        0.008074       94.628628            4.63       41.08        1.57
    0.018500        0.008073        0.008073       94.957788            4.96       41.08        1.57
    0.018550        0.008072        0.008072       95.287224            5.29       41.07        1.57
    0.018600        0.008071        0.008071       95.616934            5.62       41.07        1.57
    0.018650        0.008070        0.008070       95.946917            5.95       41.06        1.57
    0.018700        0.008069        0.008069       96.277170            6.28       41.05        1.57
    0.018750        0.008068        0.008068       96.607693            6.61       41.05        1.57
    0.018800        0.008067        0.008067       96.938484            6.94       41.04        1.57
    0.018850        0.008066        0.008066       97.269542            7.27       41.03        1.57
    0.018900        0.008064        0.008064       97.600866            7.60       41.03        1.57
    0.018950        0.008063        0.008063       97.932454            7.93       41.02        1.57
    0.019000        0.008062        0.008062       98.264304            8.26       41.01        1.57
    0.019050        0.008061        0.008061       98.596415            8.60       41.01        1.57
    0.019100        0.008060        0.008060       98.928787            8.93       41.00        1.57
    0.019150        0.008058        0.008058       99.261417            9.26       40.99        1.57
    0.019200        0.008057        0.008057       99.594304            9.59       40.99        1.57
    0.019250        0.008056        0.008056       99.927446            9.93       40.98        1.57
    0.019300        0.008055        0.008055      100.260843           10.26       40.97        1.57
    0.019350        0.008053        0.008053      100.594493           10.59       40.97        1.57
    0.019400        0.008052        0.008052      100.928394           10.93       40.96        1.57
    0.019450        0.008051        0.008051      101.262545           11.26       40.95        1.57
    0.019500        0.008050        0.008050      101.596945           11.60       40.95        1.57
    0.019550        0.008048        0.008048      101.931592           11.93       40.94        1.57
    0.019600        0.008047        0.008047      102.266485           12.27       40.93        1.57
    0.019650        0.008046        0.008046      102.601622           12.60       40.92        1.57
    0.019700        0.008044        0.008044      102.937003           12.94       40.92        1.57
    0.019750        0.008043        0.008043      103.272625           13.27       40.91        1.57
